source_mat_id_orig,samp_description,samp_collect_device,tax_id,scientific_name,investigation_type,env_material,deployment_date,collection_date,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,arms_unit_id,rep_check,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON Toralla JTB ARMS 210701 211009 MF100 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaB_Ha_210701_211009,,DESS,,,12,1,MF,100,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTB,,batch_3.2,,,,EMOBON_EMT21_Ha_11
EMO BON Toralla JTC ARMS 210701 211009 MF500 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaC_Ha_210701_211009,,DESS,,,12,1,MF,500,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTC,,batch_3.2,,,,EMOBON_EMT21_Ha_12
EMO BON Toralla JTC ARMS 210701 211009 MF100 (1),EMOBON metagenome sample from station EMT21. ARMS deployed on 2021-07-01 collected on 2021-10-09. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-07-01 00:00:00,2021-10-09 00:00:00,EMT21_TorallaC_Ha_210701_211009,,DESS,,,12,1,MF,100,,ARMS Handbook v3.0,,,,,,,,,No,N,2022-10-03 00:00:00,2022-10-04 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,JTC,,batch_3.2,,,,EMOBON_EMT21_Ha_13
EMOBON_VIGO_TORALLAD1_HA_220622_240509_SF40_1,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,TorallaD1,,batch_6,,,,EMOBON_EMT21_Ha_14
EMOBON_VIGO_TORALLAD1_HA_220622_240509_SF40_2,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,NA,NA,TorallaD1,,batch_6,NA,not sequenced due to low budget; to be returned to the stations,,EMOBON_EMT21_Ha_15
EMOBON_VIGO_TORALLAD1_HA_220622_240509_MF100_1,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,TorallaD1,,batch_6,,,,EMOBON_EMT21_Ha_16
EMOBON_VIGO_TORALLAD1_HA_220622_240509_MF100_2,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,NA,NA,TorallaD1,,batch_6,NA,not sequenced due to low budget; to be returned to the stations,,EMOBON_EMT21_Ha_17
EMOBON_VIGO_TORALLAD1_HA_220622_240509_MF500_1,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,TorallaD1,,batch_6,,,,EMOBON_EMT21_Ha_18
EMOBON_VIGO_TORALLAD1_HA_220622_240509_MF500_2,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,NA,NA,TorallaD1,,batch_6,NA,not sequenced due to low budget; to be returned to the stations,,EMOBON_EMT21_Ha_19
EMOBON_VIGO_TORALLAD2_HA_220622_240509_SF40_1,EMOBON metagenome sample from station EMT21. ARMS deployed on 2022-06-22 collected on 2024-05-09. Size fraction um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2022-06-22 00:00:00,2024-05-09 00:00:00,EMT21_TorallaD1_Ha_220622_240509,,DESS,,,,,,,,,,,,,,,,,,N,2025-01-20 00:00:00,2025-01-22 00:00:00,-20,2025-05-19 00:00:00,2025-05-21 00:00:00,TorallaD2,,batch_6,,,,EMOBON_EMT21_Ha_20
